a_median,soc,probability,occupation,Illinois
24300,41-9041,0.99,Telemarketers,7420
24520,51-6051,0.99,Sewers; Hand,0
26470,51-9151,0.99,Photographic Process Workers and Processing Machine Operators,820
30100,43-9021,0.99,Data Entry Keyers,9140
32890,25-4031,0.99,Library Technicians,6480
34990,43-4141,0.99,New Accounts Clerks,3530
36550,13-2082,0.99,Tax Preparers,0
36740,49-9064,0.99,Watch Repairers,0
41920,43-5011,0.99,Cargo and Freight Agents,5330
45800,23-2093,0.99,Title Examiners; Abstractors; and Searchers,1620
49660,15-2091,0.99,Mathematical Technicians,0
67680,13-2053,0.99,Insurance Underwriters,5390
21870,41-9012,0.98,Models,0
22830,53-3031,0.98,Driver/Sales Workers,13170
25660,27-2023,0.98,Umpires; Referees; and Other Sports Officials,1820
27260,43-3071,0.98,Tellers,20870
28290,51-9111,0.98,Packaging and Filling Machine Operators and Tenders,20000
29780,41-2022,0.98,Parts Salespersons,8990
31110,51-9194,0.98,Etchers and Engravers,470
31180,43-5071,0.98,Shipping; Receiving; and Traffic Clerks,31500
33370,43-4151,0.98,Order Clerks,7370
36780,51-9061,0.98,Inspectors; Testers; Sorters; Samplers; and Weighers,23710
37040,51-2093,0.98,Timing Device Assemblers and Adjusters,70
38390,43-3031,0.98,Bookkeeping; Accounting; and Auditing Clerks,55350
38430,43-9041,0.98,Insurance Claims and Policy Processing Clerks,9850
39840,51-4035,0.98,Milling and Planing Machine Setters; Operators; and Tenders; Metal and Plastic,1030
41410,43-3061,0.98,Procurement Clerks,2490
44180,43-6012,0.98,Legal Secretaries,9270
46250,27-4013,0.98,Radio Operators,30
49200,43-4011,0.98,Brokerage Clerks,3380
63510,13-1032,0.98,Insurance Appraisers; Auto Damage,390
63650,13-2072,0.98,Loan Officers,13380
63680,13-1031,0.98,Claims Adjusters; Examiners; and Investigators,11180
69930,13-2041,0.98,Credit Analysts,2930
19980,35-9031,0.97,Hosts and Hostesses; Restaurant; Lounge; and Coffee Shop,14510
20180,41-2011,0.97,Cashiers,127700
22100,39-3021,0.97,Motion Picture Projectionists,490
25550,41-2021,0.97,Counter and Rental Clerks,10660
26150,51-6042,0.97,Shoe Machine Operators and Tenders,0
27270,51-6061,0.97,Textile Bleaching and Dyeing Machine Operators and Tenders,180
28510,51-7042,0.97,Woodworking Machine Setters; Operators; and Tenders; Except Sawing,1130
28720,51-9022,0.97,Grinding and Polishing Workers; Hand,810
29090,43-4071,0.97,File Clerks,4080
30060,51-2092,0.97,Team Assemblers,43730
30640,51-9083,0.97,Ophthalmic Laboratory Technicians,1960
33350,51-2023,0.97,Electromechanical Equipment Assemblers,790
33740,37-3012,0.97,Pesticide Handlers; Sprayers; and Applicators; Vegetation,1350
34390,51-9021,0.97,Crushing; Grinding; and Polishing Machine Setters; Operators; and Tenders,0
35160,13-1074,0.97,Farm Labor Contractors,0
36930,43-4041,0.97,Credit Authorizers; Checkers; and Clerks,740
37000,43-2021,0.97,Telephone Operators,590
37090,45-4023,0.97,Log Graders and Scalers,0
37550,19-4011,0.97,Agricultural and Food Science Technicians,710
37680,51-9081,0.97,Dental Laboratory Technicians,1150
38930,51-5111,0.97,Prepress Technicians and Workers,1460
41060,49-9061,0.97,Camera and Photographic Equipment Repairers,460
42390,43-3051,0.97,Payroll and Timekeeping Clerks,5200
49090,53-6011,0.97,Bridge and Lock Tenders,320
56790,41-9021,0.97,Real Estate Brokers,2330
116240,11-3111,0.96,Compensation and Benefits Managers,1000
19290,39-3011,0.96,Gaming Dealers,1930
19920,39-3031,0.96,Ushers; Lobby Attendants; and Ticket Takers,4730
19970,35-3022,0.96,Counter Attendants; Cafeteria; Food Concession; and Coffee Shop,20420
24140,35-2014,0.96,Cooks; Restaurant,43900
26920,49-9093,0.96,Fabric Menders; Except Garment,0
